id|topic|summary|date|refs
4|confinamento geral|No quadro do crescimento exponencial das contaminações de COVID-19, com uma sucessão de números recorde de novos casos diários, de mortes, e de internamentos e doentes em unidades de cuidados intensivos, passa a vigorar um novo confinamento geral no território nacional continental, semelhante ao imposto em Março de 2020.|2021-01-15|[{'url': 'https://www.publico.pt/2021/01/13/politica/noticia/novo-confinamento-comeca-sextafeira-costa-pede-atencao-regras-menos-excepcoes-1946164', 'date': '2021-01-13'}]
17|(Ivo Rosa) OR (Sócrates) OR (Operação Marquês)|Numa comunicação de mais de três horas, o juiz Ivo Rosa divulga a decisão instrutória da Operação Marquês, que tem como principal arguido o antigo primeiro-ministro José Sócrates. Sócrates não é julgado pelos três crimes de corrupção de que estava acusado pelo Ministério Público.|2021-04-09|[{'url': 'https://www.publico.pt/2021/04/09/sociedade/noticia/operacao-marques-decisao-directo-socrates-27-arguidos-vao-julgamento-crimes-1957841#62906', 'date': '2021-04-09'}]
26|Eduardo Cabrita|Um veículo que transportava Eduardo Cabrita, Ministro da Administração Interna, atropela e mata um homem de 43 anos que trabalhava na manutenção da via da A6, perto de Évora.|2021-06-18|[{'url': 'https://www.publico.pt/2021/06/18/politica/noticia/carro-seguia-ministro-cabrita-envolvido-atropelamento-fez-vitima-mortal-1967050', 'date': '2021-06-18'}]
27|Joe Berardo|O empresário Joe Berardo é detido por suspeita de burla agravada, fraude fiscal e branqueamento de capitais, resultando em prejuízos de quase mil milhões de euros à Caixa Geral de Depósitos, ao Novo Banco e ao Banco Comercial Português, no contexto de uma megaoperação desencadeada pela Polícia Judiciária e pelo Ministério Público.|2021-06-29|[{'url': 'https://www.publico.pt/2021/06/29/sociedade/noticia/joe-berardo-detido-fraude-caixa-geral-depositos-1968364', 'date': '2021-06-29'}]
28|(União Europeia OR UE) (Portugal OR Portuguesa)|Fim da Presidência Portuguesa do Conselho da União Europeia, que passa para a República da Eslovénia.|2021-06-30|[]
29|(Luís Filipe Vieira) OR (Operação Cartão Vermelho)|"O presidente do Sport Lisboa e Benfica, Luís Filipe Vieira é detido no âmbito da Operação Cartão Vermelho, inquérito dirigido pelo Departamento Central de Investigação e Ação Penal, sob suspeitas de crimes de abuso de confiança, burla qualificada, falsificação, fraude fiscal e branqueamento que terão lesado o Estado, o clube e o Novo Banco em 100 milhões de euros. São também detidos o seu filho, Tiago Vieira, e dois empresários da confiança do dirigente desportivo, José António dos Santos (o ""Rei dos Frangos"") e Bruno Macedo."|2021-07-07|[{'url': 'https://www.publico.pt/2021/07/07/sociedade/noticia/luis-filipe-vieira-detido-1969458', 'date': '2021-06-07'}]
33|incêndio ((Castro Marim) OR (Vila Real de Santo António) OR Tavira)|Durante a madrugada, deflagra um incêndio rural em Castro Marim, que acaba por se estender para os concelhos de Vila Real de Santo António e Tavira durante a tarde. O incêndio é dado por dominado na tarde do dia seguinte, não havendo feridos graves a registar, apesar dos danos materiais, com casas e culturas atingidas.|2021-08-16|[{'url': 'https://www.publico.pt/2021/08/17/sociedade/noticia/600-operacionais-combatem-incendio-castro-marim-58-pessoas-retiradas-1974325', 'date': '2021-08-17'}]
34|incêndio Odemira|Deflagra um incêndio florestal no concelho de Odemira; quando foi dado por dominado no dia seguinte, a Proteção Civil estimou a área ardida em 1100 hectares, num perímetro de 20 quilómetros.|2021-08-18|[{'url': 'https://www.publico.pt/2021/08/19/sociedade/noticia/fogo-odemira-ameaca-estenderse-silves-650-operacionais-terreno-1974569', 'date': '2021-08-19'}]
36|Jorge Sampaio|Três dias de luto nacional pelas exéquias e funeral de Estado de Jorge Sampaio.|2021-09-11|[{'url': 'https://www.dn.pt/politica/costa-anuncia-que-governo-vai-decretar-tres-dias-de-luto-nacional-14107650.html', 'date': '2021-09-10'}]
40|Seleção Futsal|A Seleção Portuguesa de Futsal Masculino sagra-se, pela primeira vez, Campeã do Mundo, derrotando a Argentina por 2 a 1.|2021-10-03|[{'url': 'https://www.dn.pt/desporto/o-titulo-que-faltava-ao-futsal-ja-e-uma-realidade-portugal-campeao-do-mundo-14185658.html', 'date': '2021-10-03'}]
44|Rui Costa (Benfica OR SLB)|Eleições para os órgãos sociais do Sport Lisboa e Benfica; Rui Costa, que já exercia interinamente o cargo desde o afastamento de Luís Filipe Vieira devido às acusações resultantes da Operação Cartão Vermelho em julho, é eleito Presidente da Direção.|2021-10-09|[{'url': 'https://www.abola.pt/nnh/2021-10-10/benfica-rui-costa-e-o-34-presidente-do-benfica-com-vitoria-esmagadora/908281', 'date': '2021-10-10'}]
52|(SLB OR Benfica) (Belenenses OR B-SAD)|"Um jogo de futebol disputado entre o Belenenses SAD e o Sport Lisboa e Benfica, referente à 12.ª jornada da Primeira Liga, é interrompido ao início da segunda parte em circunstâncias insólitas. Na véspera, havia sido detetado um surto interno de COVID-19 no Belenenses SAD, multiplicando-se os casos entre os jogadores e a equipa técnica: no dia do jogo, que não foi adiado, a equipa anfitriã apresentou-se a jogo sem suplentes e com apenas nove jogadores em campo (dos quais vários tirados à equipa sub-23, e com um guarda-redes na posição de avançado). No início da segunda parte, com 0-7 a favor dos benfiquistas, o jogo é dado por terminado pelo árbitro por número insuficiente de atletas na equipa do Belenenses, que tinha entretanto três jogadores lesionados. O episódio tem enorme repercussão, com a imprensa internacional a qualificar o jogo como ""vergonha"" e ""uma farsa""."|2021-11-27|[{'url': 'https://www.dn.pt/desporto/b-sad-e-benfica-termina-aos-48-minutos-por-falta-de-jogadores-azuis-14360155.html', 'date': '2021-11-27'}, {'url': 'https://observador.pt/liveblogs/belenenses-sad-benfica-azuis-respondem-ao-alargado-surto-de-covid-19-com-jogadores-dos-sub-23/', 'date': '2021-11-27'}, {'url': 'https://www.publico.pt/2021/11/27/desporto/noticia/imprensa-internacional-qualifica-jogo-jamor-vergonha-farsa-1986669', 'date': '2021-11-27'}]
56|João Rendeiro|João Rendeiro, evadido à justiça portuguesa em parte incerta desde o final de setembro, é detido num hotel de cinco estrelas em Durban, na África do Sul, numa operação conjunta da polícia portuguesa, sul-africana e angolana, tendo contado ainda com agentes da Interpol.|2021-12-11|[{'url': 'https://www.dn.pt/sociedade/joao-rendeiro-detido-14383921.html', 'date': '2021-12-11'}]
